					
					
Ευρωπαϊκές σπουδές, <L1>διεθνής</L1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
TRUE					
					
Η αίτηση πρέπει να συμπληρωθεί με <L1>γραφομηχανή</L1> χρησιμοποιώντας το παρεχόμενο έντυπο.	The application should be typewritten using the form supplied.				
Η αίτηση πρέπει να συμπληρωθεί με <N1>γραφομηχανή</N1> χρησιμοποιώντας το παρεχόμενο έντυπο.	The application should be typewritten using the form supplied.				
TRUE					
					
Ιατρική: μαθήματα εξειδίκευσης μικρής διάρκειας σε διάφορες ιατρικές ειδικότητες συμπεριλαμβανομένου του <L1>μάνατζμεντ</L1> στον τομέα της υγειονομικής μέριμνας	Medicine: short qualification courses in different medical fields including health care management				
Ιατρική: μαθήματα εξειδίκευσης μικρής διάρκειας σε διάφορες ιατρικές ειδικότητες συμπεριλαμβανομένου της <N1>διαχείρησης</N1> στον τομέα της υγειονομικής μέριμνας	Medicine: short qualification courses in different medical fields including health care management				
TRUE					
					
Ο ειδικός του <L1>μάρκετινγκ</L1> θα φροντίσει την αποτελεσματικότητα του σημείου ως μέσου επικοινωνίας και προώθησης στα μέσα ενημέρωσης αλλά και ως μέσου εξατομίκευσης των προϊόντων και των υπηρεσιών της επιχείρησης, τόσο βραχυπρόθεσμα όσο και μακροπρόθεσμα.	The industrial prop­ erty adviser will ensure that registration of the sign Is not likely to be refused: in all cases of the creation or transformation of an existing trade mark, care must be taken to ensure that the sign is not already 'taken' by virtue of prior rights in one of the Member States of the European				
Ο ειδικός της <N1>αγοραλογία</N1> θα φροντίσει την αποτελεσματικότητα του σημείου ως μέσου επικοινωνίας και προώθησης στα μέσα ενημέρωσης αλλά και ως μέσου εξατομίκευσης των προϊόντων και των υπηρεσιών της επιχείρησης, τόσο βραχυπρόθεσμα όσο και μακροπρόθεσμα.	The industrial prop­ erty adviser will ensure that registration of the sign Is not likely to be refused: in all cases of the creation or transformation of an existing trade mark, care must be taken to ensure that the sign is not already 'taken' by virtue of prior rights in one of the Member States of the European				
TRUE					
					
Το βασικό τέλος όπως και τα τέλη που καταβάλλονται για κάθε <L1>κλάση</L1> προϊόντων ή υπηρεσιών άνω των τριών είναι διπλάσια για τα συλλογικά στ\\ιατα.	· at the proprietor's request. A basic renewal fee and class fees for each class of goods or services in excess of four must be paid: these fees are doubled in the case of collective marks.				
Το βασικό τέλος όπως και τα τέλη που καταβάλλονται για κάθε <N1>είδος</N1> προϊόντων ή υπηρεσιών άνω των τριών είναι διπλάσια για τα συλλογικά στ\\ιατα.	· at the proprietor's request. A basic renewal fee and class fees for each class of goods or services in excess of four must be paid: these fees are doubled in the case of collective marks.				
TRUE					
					
Τυπώθηκε στην Ιταλία Τυπώθηκε σε λευκό χαρτί που δεν περιέχει <L1>χλώριο</L1>	Printed in Italy Printed on white chlorine-free paper				
Τυπώθηκε στην Ιταλία Τυπώθηκε σε λευκό χαρτί που δεν περιέχει <N1>χλώριο</N1>	Printed in Italy Printed on white chlorine-free paper				
TRUE					
					
Μία μελέτη του ΕΚΠΝΤ σχετικά με την <L1>ορολογία</L1> που χρησιμοποιείται όσον αφορά τη μείωση της ζήτησης, κατέστησε σαφείς τις κατηγορίες που υφίστανται στον τομέα αυτό και είχε ως αποτέλεσμα (κεφάλαιο 2) μια περισσότερο διαφοροποιημένη περιγραφή και ανάλυση αυτών των δραστηριοτήτων.	An EMCDDA study of the language of demand reduction sharpened the categories in this sector and led (in chapter 2) to a more diversi­fied description and analysis of such activities.				
Μία μελέτη του ΕΚΠΝΤ σχετικά με την <N1>ορολογία</N1> που χρησιμοποιείται όσον αφορά τη μείωση της ζήτησης, κατέστησε σαφείς τις κατηγορίες που υφίστανται στον τομέα αυτό και είχε ως αποτέλεσμα (κεφάλαιο 2) μια περισσότερο διαφοροποιημένη περιγραφή και ανάλυση αυτών των δραστηριοτήτων.	An EMCDDA study of the language of demand reduction sharpened the categories in this sector and led (in chapter 2) to a more diversi­fied description and analysis of such activities.				
FALSE					
					
Γενικά λιγότερο από το 1 % των ενηλίκων έχει δοκιμάσει τουλάχιστον μία φορά <L1>ηρωίνη</L1> αλλά μεταξύ των νεότερων ενηλίκων των μεγαλουπόλεων η επικράτηση εξάρτησης στην ηρωίνη μπορεί να είναι πολύ μεγαλύτερη από ό,τι δείχνει ο αντίστοιχος εθνικός μέσος όρος.	Typi­cally under 1% of adults have ever tried the drug, but among younger adults in major cities heroin addiction can be much more prevalent than the national average.				
Γενικά λιγότερο από το 1 % των ενηλίκων έχει δοκιμάσει τουλάχιστον μία φορά <N1>ηρωίνη</N1> αλλά μεταξύ των νεότερων ενηλίκων των μεγαλουπόλεων η επικράτηση εξάρτησης στην ηρωίνη μπορεί να είναι πολύ μεγαλύτερη από ό,τι δείχνει ο αντίστοιχος εθνικός μέσος όρος.	Typi­cally under 1% of adults have ever tried the drug, but among younger adults in major cities heroin addiction can be much more prevalent than the national average.				
TRUE					
					
Παντού το ποσοστό των αδικημάτων που έχει σχέση με την <L1>κοκαΐνη</L1> είναι χαμηλό.	Everywhere the proportion of offences involving cocaine is low.				
Παντού το ποσοστό των αδικημάτων που έχει σχέση με την <N1>κοκαΐνη</N1> είναι χαμηλό.	Everywhere the proportion of offences involving cocaine is low.				
TRUE					
					
Αντίθετα, ο κίνδυνος θανάτου μειώνεται σημαντικά αν δεν γίνεται ενέσιμη χρήση και αν αποφεύγονται τα <L1>κοκτέιλ</L1> με μεγάλες δόσεις διαφορετικών εξαρτησιογόνων ουσιών (ιδίως εκείνα που περιέχουν αλκοόλ ή κατασταλτικά).	In contrast, risk of death is considerably lower if drugs are not injected and if cocktails involving high doses of different drugs (especially those including alcohol or sedatives) are avoided.				
Αντίθετα, ο κίνδυνος θανάτου μειώνεται σημαντικά αν δεν γίνεται ενέσιμη χρήση και αν αποφεύγονται τα <N1>κοκτέιλ</N1> με μεγάλες δόσεις διαφορετικών εξαρτησιογόνων ουσιών (ιδίως εκείνα που περιέχουν αλκοόλ ή κατασταλτικά).	In contrast, risk of death is considerably lower if drugs are not injected and if cocktails involving high doses of different drugs (especially those including alcohol or sedatives) are avoided.				
TRUE					
					
Στις περισσότερες ευρωπαϊκές χώρες, η θεραπεία στηρίζεται στην αντίληψη ότι η <L1>τοξικομανία</L1> αποτελεί ασθένεια και κοινωνικό πρόβλημα.	In most European countries treatment is founded on an understanding of addiction as an illness and a social problem.				
Στις περισσότερες ευρωπαϊκές χώρες, η θεραπεία στηρίζεται στην αντίληψη ότι η <N1>τοξικομανία</N1> αποτελεί ασθένεια και κοινωνικό πρόβλημα.	In most European countries treatment is founded on an understanding of addiction as an illness and a social problem.				
FALSE					
					
Η ενθάρρυνση των παιδιών και των νηπιαγωγών να εφευρίσκουν νέες μορφές δραστηριότητας με την προσωρινή αναστολή της χρήσης συμβατικών παιχνιδιών πιστεύεται ότι ενισχύει τη δημιουργικότητα, τη <L1>φαντασία</L1> και τη μεγαλύτερη επαφή μεταξύ των παιδιών, ενώ η αποφυγή της πρώιμης εξάρτησης από αντικείμενα εμφανίζεται ως βάση για τη μεταγενέστερη πρόληψη των ναρκωτικών.	Encouraging children and nursery staff to invent new forms of activity by temporarily banning conventional toys is thoughtto foster creativity, imagination, and greater contact be­tween children, while avoiding early reliance on objects is seen as a foundation for later drug pre­vention.				
Η ενθάρρυνση των παιδιών και των νηπιαγωγών να εφευρίσκουν νέες μορφές δραστηριότητας με την προσωρινή αναστολή της χρήσης συμβατικών παιχνιδιών πιστεύεται ότι ενισχύει τη δημιουργικότητα, τη <N1>φαντασία</N1> και τη μεγαλύτερη επαφή μεταξύ των παιδιών, ενώ η αποφυγή της πρώιμης εξάρτησης από αντικείμενα εμφανίζεται ως βάση για τη μεταγενέστερη πρόληψη των ναρκωτικών.	Encouraging children and nursery staff to invent new forms of activity by temporarily banning conventional toys is thoughtto foster creativity, imagination, and greater contact be­tween children, while avoiding early reliance on objects is seen as a foundation for later drug pre­vention.				
TRUE					
					
Στο Ηνωμένο Βασίλειο, σε τηλεοπτικές σαπουνόπερες έχει παρουσιαστεί το <L1>πορτρέτο</L1> βασικών χαρακτήρων που κάνουν χρήση ηρωίνης.	Supported by the European Commission, FESAT facilitates the ex­change of experiences between professionals and volunteers across the European Union, provides training and seeks to improve service quality.		both original and edited sound strange		
Στο Ηνωμένο Βασίλειο, σε τηλεοπτικές σαπουνόπερες έχει παρουσιαστεί η <N1>προσωπογραφία</N1> βασικών χαρακτήρων που κάνουν χρήση ηρωίνης.	Supported by the European Commission, FESAT facilitates the ex­change of experiences between professionals and volunteers across the European Union, provides training and seeks to improve service quality.				
TRUE					
					
Από το 1996, οποιοσδήποτε ιατρός μπορεί να συνταγογραφήσει βουπρενορφίνη ως <L1>υποκατάστατο</L1> οπιούχων.	Since 1996 any doctor can prescribe bu­prenorphine as an opiate substitute.				
Από το 1996, οποιοσδήποτε ιατρός μπορεί να συνταγογραφήσει βουπρενορφίνη ως <N1>υποκατάστατο</N1> οπιούχων.	Since 1996 any doctor can prescribe bu­prenorphine as an opiate substitute.				
TRUE					
					
Εντούτοις, έχουν εντοπιστεί ορισμένα μεμονωμένα παραδείγματα ορθής πρακτικής και πολλά υποσχόμενων καινοτομιών, συμπεριλαμβανομένης της σφυρηλάτησης δεσμών που παρέχουν τη δυνατότητα σε κατά τόπους μειονοτικές ομάδες να δρουν ως πύλες εισόδου στις υπηρεσίες ναρκωτικών με αποτέλεσμα να βελτιώνεται η προσβασιμότητα και να υποβοηθείται η διαμόρφωση παροχών που να αντιστοιχούν στις ειδικές ανάγκες και <L1>κουλτούρα</L1> των μελών τους.	However, isolated examples of good practice and promising innovation could be identified, includ­ing the forging of links which enable minority com­munity groups to act as gateways to drug services, potentially improving accessibility and helping to profile responses to their members' specific cultures and needs.				
Εντούτοις, έχουν εντοπιστεί ορισμένα μεμονωμένα παραδείγματα ορθής πρακτικής και πολλά υποσχόμενων καινοτομιών, συμπεριλαμβανομένης της σφυρηλάτησης δεσμών που παρέχουν τη δυνατότητα σε κατά τόπους μειονοτικές ομάδες να δρουν ως πύλες εισόδου στις υπηρεσίες ναρκωτικών με αποτέλεσμα να βελτιώνεται η προσβασιμότητα και να υποβοηθείται η διαμόρφωση παροχών που να αντιστοιχούν στις ειδικές ανάγκες και <N1>παραδόσεις</N1> των μελών τους.	However, isolated examples of good practice and promising innovation could be identified, includ­ing the forging of links which enable minority com­munity groups to act as gateways to drug services, potentially improving accessibility and helping to profile responses to their members' specific cultures and needs.				
TRUE					
					
Από την έρευνα διαπιστώθηκε ότι και στις δύο ομάδες μειώθηκε στο ίδιο βαθμό η επισφαλής συμπεριφορά στο <L1>σεξ</L1> και τη χρήση ενέσιμων ναρκωτικών.	With funding from the European Commission, the European Addiction Training Institute in the Neth­erlands offers international training programmes.	επαφή σεξ συνουσία			
Από την έρευνα διαπιστώθηκε ότι και στις δύο ομάδες μειώθηκε στο ίδιο βαθμό η επισφαλής συμπεριφορά στην <N1>συνουσία</N1> και τη χρήση ενέσιμων ναρκωτικών.	With funding from the European Commission, the European Addiction Training Institute in the Neth­erlands offers international training programmes.				
TRUE					
					
Η μεταμφεταμίνη, η <L1>αμφεταμίνη</L1> και γενικά τα φάρμακα τύπου αμφεταμίνης -όπως είναι, για παράδειγμα, η φενδιμετραζίνη- που χορηγούνται με ιατρική συνταγή μπορούν να ανευρεθούν όλα στην παράνομη αγορά της Ιταλίας.	Methamphetamine, amphetamine and prescribed amphetamine-like drugs such as phendimetrazine are all available on the illicit market in Italy.				
Η μεταμφεταμίνη, η <N1>αμφεταμίνη</N1> και γενικά τα φάρμακα τύπου αμφεταμίνης -όπως είναι, για παράδειγμα, η φενδιμετραζίνη- που χορηγούνται με ιατρική συνταγή μπορούν να ανευρεθούν όλα στην παράνομη αγορά της Ιταλίας.	Methamphetamine, amphetamine and prescribed amphetamine-like drugs such as phendimetrazine are all available on the illicit market in Italy.				
FALSE					
					
Η παρούσα επιδίωξη είναι να συνδυαστούν οι δύο αυτές δράσεις -να φανεί δηλαδή πώς εκείνο που παρουσιάζεται ως δυσπρόσιτη <L1>γραφειοκρατία</L1> είναι στην πραγματικότητα ένας αναγκαίος μηχανισμός ελέγχου για την απόδοση θετικών και συγκεκριμένων αποτελεσμάτων σχετικά με τον αυξανόμενο αριθμό των ατόμων που πλήττονται από το πρόβλημα των ναρκωτικών στην Ευρώπη.	The aim here is to marry these two visions - to show how what can seem a distant bureaucracy is an essential control mechanism for delivering positive and concrete results for the growing numbers in Europe affected by the drugs problem.				
Η παρούσα επιδίωξη είναι να συνδυαστούν οι δύο αυτές δράσεις -να φανεί δηλαδή πώς εκείνο που παρουσιάζεται ως δυσπρόσιτη <N1>γραφειοκρατία</N1> είναι στην πραγματικότητα ένας αναγκαίος μηχανισμός ελέγχου για την απόδοση θετικών και συγκεκριμένων αποτελεσμάτων σχετικά με τον αυξανόμενο αριθμό των ατόμων που πλήττονται από το πρόβλημα των ναρκωτικών στην Ευρώπη.	The aim here is to marry these two visions - to show how what can seem a distant bureaucracy is an essential control mechanism for delivering positive and concrete results for the growing numbers in Europe affected by the drugs problem.				
FALSE					
					
<L1>βαρβιτουρικά</L1> και τα ηρεμιστικά, ανάλογα με το εάν χαρακτηρίστηκαν πολύ επιβλαβή χωρίς ιατρικές χρήσεις, επιβλαβή αλλά με ιατρικές χρήσεις και λιγότερο επιβλαβή με σημαντικές ιατρικές χρήσεις.	The convention adopted the objectives and framework introduced in 1961. Its schedules classi­fied substances such as amphetamine­type stimu­lants, hallucinogens, barbiturates and tranquillisers depending on whether they were judged: very harm­ful with no medical uses; harmful but with medical uses; and less harmful with substantial medical uses.				
<N1>βαρβιτουρικά</N1> και τα ηρεμιστικά, ανάλογα με το εάν χαρακτηρίστηκαν πολύ επιβλαβή χωρίς ιατρικές χρήσεις, επιβλαβή αλλά με ιατρικές χρήσεις και λιγότερο επιβλαβή με σημαντικές ιατρικές χρήσεις.	The convention adopted the objectives and framework introduced in 1961. Its schedules classi­fied substances such as amphetamine­type stimu­lants, hallucinogens, barbiturates and tranquillisers depending on whether they were judged: very harm­ful with no medical uses; harmful but with medical uses; and less harmful with substantial medical uses.				
TRUE					
					
Επιδιώκοντας αυτό το στόχο, το 1996, ένα περουβιανό <L1>συνδικάτο</L1> ναρκωτικών εξαρθρώθηκε με επιτυχία και η συνεργασία με τις μεξικανικές αρχές οδήγησε στη σύλληψη του αρχηγού του <L2>καρτέλ</L2> του Κόλπου του Μεξικού.	In pursuit of this objective, in 1996 a Pe­ruvian drug synd ¡cate was successfully disrupted and collaboration with the Mexican authorities led to the arrest of the head of the Mexican Gulf cartel.	Συνδικάτο			
Επιδιώκοντας αυτό το στόχο, το 1996, μια περουβιανή <N1>κοινοπραξία</N1> ναρκωτικών εξαρθρώθηκε με επιτυχία και η συνεργασία με τις μεξικανικές αρχές οδήγησε στη σύλληψη του αρχηγού του <N2>καρτέλ</N2> του Κόλπου του Μεξικού.	In pursuit of this objective, in 1996 a Pe­ruvian drug synd ¡cate was successfully disrupted and collaboration with the Mexican authorities led to the arrest of the head of the Mexican Gulf cartel.				
TRUE					
					
Η ηρωίνη είναι ένα πιο ισχυρό παράγωγο της μορφίνης, ένα ναρκωτικό που εξάγεται από το όπιο, το οποίο προέρχεται από την <L1>παπαρούνα</L1> (μήκων η υπνοφόρος).	Heroin is a more potent derivative of morphine, a drug extracted from opium which itself comes from the opium poppy.				
Η ηρωίνη είναι ένα πιο ισχυρό παράγωγο της μορφίνης, ένα ναρκωτικό που εξάγεται από το όπιο, το οποίο προέρχεται από την <N1>παπαρούνα</N1> (μήκων η υπνοφόρος).	Heroin is a more potent derivative of morphine, a drug extracted from opium which itself comes from the opium poppy.				
TRUE					
					
Μια άλλη σημαντική παρατήρηση είναι ότι αλλάζει το <L1>προφίλ</L1> των εργαζομένων.	Given the results on the effectiveness of campaigns, it is not surprising that most countries very much intend to continue or increase their use.				
Μια άλλη σημαντική παρατήρηση είναι ότι αλλάζουν τα <N1>χαρακτηριστικά</N1> των εργαζομένων.	Given the results on the effectiveness of campaigns, it is not surprising that most countries very much intend to continue or increase their use.				
TRUE					
					
Η <L1>μεθοδολογία</L1> αυτή χρησιμεύει ως έλεγχος ποιότητας στα πλαίσια του οποίου εξετάζεται συστηματικά η αποτελεσματικότητα ενός μέτρου.	This methodology serves as a quality check in which the efficiency of a measure is considered systematically.				
Η <N1>μεθοδολογία</N1> αυτή χρησιμεύει ως έλεγχος ποιότητας στα πλαίσια του οποίου εξετάζεται συστηματικά η αποτελεσματικότητα ενός μέτρου.	This methodology serves as a quality check in which the efficiency of a measure is considered systematically.				
TRUE					
					
Κατά το δεύτερο εξάμηνο του έτους, μετά την <L1>πρόσληψη</L1> νέου προσωπικού, το τμήμα τυποποίησης μπόρεσε να ξεκινήσει μια νέα σειρά εσωτερικών και εξωτερικών δραστηριοτήτων.	In the latter half of the year, following the recruitment of additional staff, the Standardisation Section was able to begin work on a series of new in-house and external activities.				
Κατά το δεύτερο εξάμηνο του έτους, μετά την <N1>πρόσληψη</N1> νέου προσωπικού, το τμήμα τυποποίησης μπόρεσε να ξεκινήσει μια νέα σειρά εσωτερικών και εξωτερικών δραστηριοτήτων.	In the latter half of the year, following the recruitment of additional staff, the Standardisation Section was able to begin work on a series of new in-house and external activities.				
FALSE					
					
- στη Γενεύη και τη Βέρνη - στην Αυστρία (αυστροουγγρικά και αυστροσλοβακικά σύνορα) - στη Ρώμη και τη Νάπολη - στο Χαμ (Κεντρικό γερμανικό διαμετακομιστικό γραφείο) - στο <L1>λιμάνι</L1> της Αμβέρσας	- Geneva and Berne - Austria (Austrian-Hungarian and Austrian-Slovak borders) - Rome and Naples - Hamm (German central transit sorting office) - Port of Antwerp				
- στη Γενεύη και τη Βέρνη - στην Αυστρία (αυστροουγγρικά και αυστροσλοβακικά σύνορα) - στη Ρώμη και τη Νάπολη - στο Χαμ (Κεντρικό γερμανικό διαμετακομιστικό γραφείο) - στο <N1>λιμάνι</N1> της Αμβέρσας	- Geneva and Berne - Austria (Austrian-Hungarian and Austrian-Slovak borders) - Rome and Naples - Hamm (German central transit sorting office) - Port of Antwerp				
FALSE					
					
Η παρούσα νομοθετική βάση της κοινοτικής διαμετακόμισης είναι οι κονοτικός τελωνειακός <L1>κώδικας</L1> (ΚΤΚ), που ανάγεται στο 19921.	(CCC), dating from 19921	κώδικας κώδικας υπολογιστή | κωδικός κώδικας			
Η παρούσα νομοθετική βάση της κοινοτικής διαμετακόμισης είναι οι κονοτικός τελωνειακός <N1>κώδικας</N1> (ΚΤΚ), που ανάγεται στο 19921.	(CCC), dating from 19921				
TRUE					
					
Τότε θα έπρεπε να εμφανίζεσαι στα σύνορα με το <L1>πορτοφόλι</L1> και τα λεφτά στο χέρι για να πληρώσεις μετρητοίς. 6	Then it would be out with your wallet and down with your cash at the frontier and cash payments at the other end. 6				
Τότε θα έπρεπε να εμφανίζεσαι στα σύνορα με το <N1>τσαντάκι</N1> και τα λεφτά στο χέρι για να πληρώσεις μετρητοίς. 6	Then it would be out with your wallet and down with your cash at the frontier and cash payments at the other end. 6				
TRUE					
					
Στην παρούσα έκθεση, αναφέρθηκε ο γενικός <L1>σκεπτικισμός</L1> (ακόμη και από την ίδια την Επιτροπή) που επικρατεί όσον αφορά το κατά πόσον μπορεί να τηρηθεί η προθεσμία του 1998.	Mention has been made in this report of the general scepticism (even within the Commission itself) as to whether the deadline of 1998 can be met.	δυσπιστία σκεπτικισμός			
Στην παρούσα έκθεση, αναφέρθηκε ο γενικός <N1>σκεπτικισμός</N1> (ακόμη και από την ίδια την Επιτροπή) που επικρατεί όσον αφορά το κατά πόσον μπορεί να τηρηθεί η προθεσμία του 1998.	Mention has been made in this report of the general scepticism (even within the Commission itself) as to whether the deadline of 1998 can be met.				
FALSE					
					
Η παραχάραξη των σφραγίδων από <L1>καουτσούκ</L1> αποδείχθηκε ότι είναι σημαντικό πρόβλημα καθόσον είναι δύσκολο να γίνει εξακρίβωση των σφραγίδων.	Forgeries of stamps have proved a significant problem, with verification of stamps also being difficult.	ελάστικό κόμμι καουτσούκ			
Η παραχάραξη των σφραγίδων από <N1>καουτσούκ</N1> αποδείχθηκε ότι είναι σημαντικό πρόβλημα καθόσον είναι δύσκολο να γίνει εξακρίβωση των σφραγίδων.	Forgeries of stamps have proved a significant problem, with verification of stamps also being difficult.				
TRUE					
					
Στο σημείο αυτό υπήρξαν κάποιες αντιρρήσεις από τις ελβετικές αρχές, οι οποίες αν και υποστήριξαν κατ' αρχάς τη μηχανοργάνωση, εξέφρασαν επιφυλάξεις και έθεσαν ερωτήματα. 7 Έφθασαν μάλιστα στο σημείο να αποστείλουν έγγραφη <L1>κριτική</L1> σχετικά με την πρόταση αυτή προς την αντιπροσωπεία της εξεταστικής επιτροπής στη Γενεύη και τη Βέρνη.8	Here it has encountered some resistance from the Swiss authorities which, while supporting computerisation in principle, have  expressed reservations and asked questions. 7 They went so far as to hand a written critique of the proposal to the Committee's delegation to Geneva and Berne.8	αξιολόγηση κριτική σχολιασμός			
Στο σημείο αυτό υπήρξαν κάποιες αντιρρήσεις από τις ελβετικές αρχές, οι οποίες αν και υποστήριξαν κατ' αρχάς τη μηχανοργάνωση, εξέφρασαν επιφυλάξεις και έθεσαν ερωτήματα. 7 Έφθασαν μάλιστα στο σημείο να αποστείλουν έγγραφη <N1>αξιολόγηση</N1> σχετικά με την πρόταση αυτή προς την αντιπροσωπεία της εξεταστικής επιτροπής στη Γενεύη και τη Βέρνη.8	Here it has encountered some resistance from the Swiss authorities which, while supporting computerisation in principle, have  expressed reservations and asked questions. 7 They went so far as to hand a written critique of the proposal to the Committee's delegation to Geneva and Berne.8				
TRUE					
					
Όχι μόνο θα ενημερώνονται οι αρμόδιοι φορείς για τη διάπραξη απάτης νωρίτερα αλλά, ακόμη και αν όλα βαίνουν καλώς, οι εγγυοδοτικές υποχρεώσεις θα εκκρεμούν επί πολύ μικρότερο χρονικό διάστημα (πιθανώς μερικές ημέρες αντί για αρκετούς μήνες) και θα χρυσωθεί σημαντικά το εξαιρετικά πικρό σήμερα <L1>χάπι</L1> που αποτελούν οι εκκρεμούσες εγγυήσεις.	Not only would operators be alerted to frauds much earlier, but, even in the normal course of events, guarantee obligations would be outstanding for much shorter periods of time (probably days rather than an equivalent number of months) and would considerably sweeten the currently extremely bitter pill constituted by outstanding guarantee liabilities.				
Όχι μόνο θα ενημερώνονται οι αρμόδιοι φορείς για τη διάπραξη απάτης νωρίτερα αλλά, ακόμη και αν όλα βαίνουν καλώς, οι εγγυοδοτικές υποχρεώσεις θα εκκρεμούν επί πολύ μικρότερο χρονικό διάστημα (πιθανώς μερικές ημέρες αντί για αρκετούς μήνες) και θα χρυσωθεί σημαντικά το εξαιρετικά πικρό σήμερα <N1>δισκίο</N1> που αποτελούν οι εκκρεμούσες εγγυήσεις.	Not only would operators be alerted to frauds much earlier, but, even in the normal course of events, guarantee obligations would be outstanding for much shorter periods of time (probably days rather than an equivalent number of months) and would considerably sweeten the currently extremely bitter pill constituted by outstanding guarantee liabilities.				
TRUE					
					
Τούτο έχει ως βάση για την ένταξη στη μαύρη <L1>λίστα</L1> τις προηγούμενες καταδίκες.	This relies on previous convictions as the basis of black-listing.	κατάσταση λίστα | κατάλογος λίστα			
Τούτο έχει ως βάση για την ένταξη στον μαύρο <N1>κατάλογο</N1> τις προηγούμενες καταδίκες.	This relies on previous convictions as the basis of black-listing.				
TRUE					
					
Εντούτοις, τέσσερα <L1>πρωτεύοντα</L1> ζητήματα που εξετάζονται στην παρούσα έκθεση είναι κατά βάση πολιτικά, κατά το ότι δεν απαιτούν διοικητικές ή τεχνικές μεταρρυθμίσεις αλλά πολιτικές αποφάσεις.	However, four key subjects addressed in this report are essentially political, insofar as, rather than requiring administrative or technical reforms, they require political decision. These span:				
Εντούτοις, τέσσερα <N1>κύρια</N1> ζητήματα που εξετάζονται στην παρούσα έκθεση είναι κατά βάση πολιτικά, κατά το ότι δεν απαιτούν διοικητικές ή τεχνικές μεταρρυθμίσεις αλλά πολιτικές αποφάσεις.	However, four key subjects addressed in this report are essentially political, insofar as, rather than requiring administrative or technical reforms, they require political decision. These span:				
TRUE					
					
Για λόγους δικαιοσύνης, οπιαδήποτε αμνήστευση ή <L1>μορατόριουμ</L1> θα έπρεπε να είναι γενική και στην κλίμακα ολόκληρης της Κοινότητας.	For reasons of equity, any amnesty or moratorium would have to be global, and Community-wide.				
Για λόγους δικαιοσύνης, οπιαδήποτε αμνήστευση ή <N1>αναστολή</N1> θα έπρεπε να είναι γενική και στην κλίμακα ολόκληρης της Κοινότητας.	For reasons of equity, any amnesty or moratorium would have to be global, and Community-wide.				
TRUE					
					
