					
					
Πίνετε αυτό το <L1>τσάι</L1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
Προσφέρουμε κομψές και μοντέρνες λύσεις για εστιατόρια και καφετέριες στους δρόμους: σκηνές για βεράντες εστιατορίων και εποχιακών χώρων, στέγαστρα, λόμπι εισόδου και περίπτερα για καλοκαιρινά καφέ, καθώς και βεράντες για χώρους <N1>(σε) ύφος</N1> στον τελευταίο όροφο σε στέγες ή ψηλότερους ορόφους κτιρίων.	We offer stylish and modern solutions for restaurants and street cafés: tents for terraces of restaurants and seasonal sites, canopies, entrance lobbies and pavilions for summer cafés, as well as terraces for rooftop style venues on roofs or higher floors of buildings.				
FALSE					
					
Ηχοσύστημα Θα υπάρξει χρόνος για <L1>πάρτι</L1> και χρόνος για απαλή μουσική!	Speakers on Board There will be time for party and time for smooth music!	γιορτή			
Ηχοσύστημα Θα υπάρξει χρόνος για <N1>γιορτή</N1> και χρόνος για απαλή μουσική!	Speakers on Board There will be time for party and time for smooth music!				
TRUE					
					
Αυτό μπορεί να ρυθμιστεί γρήγορα παραπάνω, για παράδειγμα, μια <L1>πλακέτα</L1> τυπωμένου κυκλώματος ή ένα <L2>τηλέφωνο</L2> προς επισκευή.	This can be quickly set above, for example, a printed circuit board or telephone to be repaired.				
Αυτό μπορεί να ρυθμιστεί γρήγορα παραπάνω, για παράδειγμα, μια <N1>πλακέτα</N1> τυπωμένου κυκλώματος ή ένα <N2>τηλέφωνο</N2> προς επισκευή.	This can be quickly set above, for example, a printed circuit board or telephone to be repaired.				
FALSE					
					
Σε <L1>μπολ</L1> αναμειγνύουμε τη σάλτσα με τα ζυμαρικά.	Serve, garnishing with the breadcrumbs.	κύπελλο 			
Σε <N1>κύπελλο</N1> αναμειγνύουμε τη σάλτσα με τα ζυμαρικά.	Serve, garnishing with the breadcrumbs.				
TRUE					
					
Επιπλέον, το ελαφρύ του μαγείρεμα ενισχύει τη <L1>βιταμίνη</L1> Α και επιτρέπει την απελευθέρωση και άλλων θρεπτικών ουσιών.	In addition, its light cooking enhances vitamin A and allows the release of other nutrients.				
Επιπλέον, το ελαφρύ του μαγείρεμα ενισχύει τη <N1>βιταμίνη</N1> Α και επιτρέπει την απελευθέρωση και άλλων θρεπτικών ουσιών.	In addition, its light cooking enhances vitamin A and allows the release of other nutrients.				
FALSE					
					
Κομψή μύτη με χαρακτηριστικά αρώματα λεμονανθών, διακριτικά αρώματα γλυκών μπαχαρικών όπως <L1>βανίλια</L1> και κάρδαμο και φρουτώδη αρώματα αχλαδιού και ψητού κυφωνιού.	It is bright with elegant nose with distinctive aromas of lemon blossom, sweet spices like cardamom and vanilla and fruity aromas of pear and baked quince.				
Κομψή μύτη με χαρακτηριστικά αρώματα λεμονανθών, διακριτικά αρώματα γλυκών μπαχαρικών όπως <N1>βανίλια</N1> και κάρδαμο και φρουτώδη αρώματα αχλαδιού και ψητού κυφωνιού.	It is bright with elegant nose with distinctive aromas of lemon blossom, sweet spices like cardamom and vanilla and fruity aromas of pear and baked quince.				
FALSE					
					
Στο <L1>μπάνιο</L1> περιλαμβάνονται στεγνωτήρας μαλλιών, πετσέτες και προϊόντα περιποίησης.	The bathroom includes a hairdryer, towels and toiletries.	λουτρό 			
Στο <N1>λουτρό </N1> περιλαμβάνονται στεγνωτήρας μαλλιών, πετσέτες και προϊόντα περιποίησης.	The bathroom includes a hairdryer, towels and toiletries.				
TRUE					
					
Ο ετεροφυλόφιλος γάμος είναι κάτι πάρα πάνω από σεξουαλική οικειότητα, και όποιος είναι παντρεμένος για αρκετό διάστημα θα σας πει πως το <L1>σεξ</L1> είναι το πρώτο πράγμα που εξαφανίζεται όταν χαθεί ή παραβιασθεί η πνευματική και συναισθηματική οικειότητα.	Heterosexual marriage is more than just sexual intimacy, and anyone who has been married for any length of time will tell you, sex is the first thing to go when spiritual and emotional intimacy is lost or violated.	συνουσία (σεξουαλική επαφή)			
Ο ετεροφυλόφιλος γάμος είναι κάτι πάρα πάνω από σεξουαλική οικειότητα, και όποιος είναι παντρεμένος για αρκετό διάστημα θα σας πει πως η <N1>συνουσία</N1> είναι το πρώτο πράγμα που εξαφανίζεται όταν χαθεί ή παραβιασθεί η πνευματική και συναισθηματική οικειότητα.	Heterosexual marriage is more than just sexual intimacy, and anyone who has been married for any length of time will tell you, sex is the first thing to go when spiritual and emotional intimacy is lost or violated.				
TRUE					
					
Τα άτομα που δεν έχουν εμφανίσει ποτέ συμπτώματα ή δεν έχουν εμφανίσει συμπτώματα για τουλάχιστον 2 ημέρες μπορούν να τερματίσουν την περίοδο αυτοαπομόνωσής τους μετά από 5 ημέρες, εάν εκτελέσουν αρνητικό αποτέλεσμα σε μοριακό <L1>τεστ</L1> ή σε ένα γρήγορο <L2>τεστ</L2> αντιγόνου.	People who have never developed symptoms or who have not had symptoms for at least 2 days can end their self-isolation period after 5 days, if they perform a negative result to a molecular test or to a rapid antigen test.	δοκιμή - έλεγχος			
Τα άτομα που δεν έχουν εμφανίσει ποτέ συμπτώματα ή δεν έχουν εμφανίσει συμπτώματα για τουλάχιστον 2 ημέρες μπορούν να τερματίσουν την περίοδο αυτοαπομόνωσής τους μετά από 5 ημέρες, εάν εκτελέσουν αρνητικό αποτέλεσμα σε μοριακό <N1>έλεγχο</N1> ή σε ένα γρήγορο <N2>έλεγχο</N2>  αντιγόνου.	People who have never developed symptoms or who have not had symptoms for at least 2 days can end their self-isolation period after 5 days, if they perform a negative result to a molecular test or to a rapid antigen test.				
TRUE					
					
Μπορείτε να φτιάξετε ποτπουρρί ανακατεύοντας μαζί 2με 3 κούπες από αποξηραμένα λουλούδια,ρίζες και φύλλα (Χρησιμοποιείστε βότανα και λουλούδια), 2 με 3 κουταλιές της σούπας τριμμένη <L1>κανέλα</L1> γλυκάνισο και κανελογαρύφαλλο, 1/4 της κούπας ξερές φλούδες λεμονιού ή πορτοκαλιού, 2 κουταλιές της σούπας στερεωτικού, (περισσότερο αργότερα) και 5-6 σταγόνες αιθέρια έλαια.	You can make potpourri by blending together 2 to 3 cups of dried flowers, roots and leaves (use herbs and flowers), 2 to 3 tablespoons crushed cinnamon, star anise and cloves, 1/4 cup dried orange or lemon peel, 2 tablespoons of a fixative (more later) and 5 or 6 drops of an essential oil.				
Μπορείτε να φτιάξετε ποτπουρρί ανακατεύοντας μαζί 2με 3 κούπες από αποξηραμένα λουλούδια,ρίζες και φύλλα (Χρησιμοποιείστε βότανα και λουλούδια), 2 με 3 κουταλιές της σούπας τριμμένη <N1>κανέλα</N1> γλυκάνισο και κανελογαρύφαλλο, 1/4 της κούπας ξερές φλούδες λεμονιού ή πορτοκαλιού, 2 κουταλιές της σούπας στερεωτικού, (περισσότερο αργότερα) και 5-6 σταγόνες αιθέρια έλαια.	You can make potpourri by blending together 2 to 3 cups of dried flowers, roots and leaves (use herbs and flowers), 2 to 3 tablespoons crushed cinnamon, star anise and cloves, 1/4 cup dried orange or lemon peel, 2 tablespoons of a fixative (more later) and 5 or 6 drops of an essential oil.				
FALSE					
					
Αν τολμάς να μπεις κάτω από το κρύο νερό του καταρράκτη, κράτα και το <L1>μαγιό</L1> σου.	If you dare to swim in the chilly waters of the waterfall, remember to take your bathing suit as well.	ένδυμα κολύμβησης			
Αν τολμάς να μπεις κάτω από το κρύο νερό του καταρράκτη, κράτα και το <N1>ένδυμα κολύμβησης</N1> σου.	If you dare to swim in the chilly waters of the waterfall, remember to take your bathing suit as well.				
FALSE					
					
Η απάντηση φωλιάζει στις παιδικές αυτές δημιουργίες, συνιστά το χαρούμενο και φωτεινό μυστικό, που επιτρέπει σε μας τους ενήλικες να πούμε, <L1>παρέα</L1> με τους μικρούς δημιουργούς: Ναι!	The answer nestles in these children's creations, is the joyous, radiant secret that enable us adults to say, along with the young artists:  Yes!	συντροφία 			
Η απάντηση φωλιάζει στις παιδικές αυτές δημιουργίες, συνιστά το χαρούμενο και φωτεινό μυστικό, που επιτρέπει σε μας τους ενήλικες να πούμε, <N1>συντροφία </N1> με τους μικρούς δημιουργούς: Ναι!	The answer nestles in these children's creations, is the joyous, radiant secret that enable us adults to say, along with the young artists:  Yes!				
TRUE					
					
Η τεχνητή νοημοσύνη και το <L1>ίντερνετ</L1> των πραγμάτων έχουν ενισχύσει σημαντικά την συνδεσιμότητα μεταξύ ανθρώπων και συσκευών.	Then there's Artificial Intelligence (AI) and the Internet Of Things (IOT) - that is, the interconnectivity of all our devices, fuelled by increasingly powerful systems.	διαδίκτυο			
Η τεχνητή νοημοσύνη και το <N1>διαδίκτυο</N1> των πραγμάτων έχουν ενισχύσει σημαντικά την συνδεσιμότητα μεταξύ ανθρώπων και συσκευών.	Then there's Artificial Intelligence (AI) and the Internet Of Things (IOT) - that is, the interconnectivity of all our devices, fuelled by increasingly powerful systems.				
TRUE					
					
Ο οποίος θα χρηματοδοτείται γενναιόδωρα και θα αντιμετωπίζεται με μεγάλη προσοχή είτε είναι το πάρκο, η πλατεία, ο δρόμος, το λεωφορείο, το <L1>τρένο</L1> κ.λπ.	This would mean that it'd receive generous funding and would be dealt with great care, whether it's a park, a square, a street, a bus, a train etc.	σιδηρόδρομος - αμαξοστοιχία			
Ο οποίος θα χρηματοδοτείται γενναιόδωρα και θα αντιμετωπίζεται με μεγάλη προσοχή είτε είναι το πάρκο, η πλατεία, ο δρόμος, το λεωφορείο, το <N1>σιδηρόδρομος</N1> κ.λπ.	This would mean that it'd receive generous funding and would be dealt with great care, whether it's a park, a square, a street, a bus, a train etc.				
FALSE					
					
Κωδικός Προϊόντος: 98501 Παιδικό <L1>γιλέκο</L1> 100% από πολυεστέρα.	Product Ref: 98501 100% polyester reflective kids' vests.	αμάνικο ένδυμα			
Κωδικός Προϊόντος: 98501 Παιδικό <N1>αμάνικο ένδυμα</N1> 100% από πολυεστέρα.	Product Ref: 98501 100% polyester reflective kids' vests.				
FALSE					
					
Σε όλους όσοι τερματίσουν, θα δοθεί αναμνηστικό <L1>μετάλλιο</L1> και δίπλωμα του αγώνα, το οποίο θα έχουν την δυνατότητα να το κατεβάσουν από την ιστοσελίδα του αγώνα μετά την ανάρτηση των επίσημων αποτελεσμάτων.	All finishers will receive commemorative medal and diploma of the race, which will be able to download it from the race website after posting the official results.	τιμητικό έμβλημα - διάκριση			
Σε όλους όσοι τερματίσουν, θα δοθεί αναμνηστικό <N1>έμβλημα </N1> και δίπλωμα του αγώνα, το οποίο θα έχουν την δυνατότητα να το κατεβάσουν από την ιστοσελίδα του αγώνα μετά την ανάρτηση των επίσημων αποτελεσμάτων.	All finishers will receive commemorative medal and diploma of the race, which will be able to download it from the race website after posting the official results.				
TRUE					
					
Συμβουλές για την <L1>πρόσληψη</L1> φυτικών ινών	TIPS FOR GETTING ADEQUATE FIBER				
Συμβουλές για την <N1>πρόσληψη</N1> φυτικών ινών	TIPS FOR GETTING ADEQUATE FIBER				
FALSE					
					
Επειδή αποτελείται από <L1>καουτσούκ</L1> και το καουτσούκ δεν είναι αγώγιμο, τρίβεται στον μεταφορέα κατά τη λειτουργία, δημιουργώντας στατική ηλεκτρική ενέργεια, η οποία προκαλεί έκρηξη όταν αγγίζει τη φλόγα.	Because it consists of rubber, and rubber is not conductive, it rubs against the conveyor during operation, generating static electrical energy, which causes an explosion when it touches the flame.	ελάστικό κόμμι καουτσούκ			
Επειδή αποτελείται από <N1></N1> και το καουτσούκ δεν είναι αγώγιμο, τρίβεται στον μεταφορέα κατά τη λειτουργία, δημιουργώντας στατική ηλεκτρική ενέργεια, η οποία προκαλεί έκρηξη όταν αγγίζει τη φλόγα.	Because it consists of rubber, and rubber is not conductive, it rubs against the conveyor during operation, generating static electrical energy, which causes an explosion when it touches the flame.				
FALSE					
					
Περισσότερος χώρος Χάρη στην κατάργηση του θόλου του κινητήρα και τη μεταφορά του <L1>ρεζερβουάρ</L1> αερίου στην οροφή, οι επιβάτες έχουν στη διάθεσή τους περισσότερο χώρο κι απολαμβάνουν μεγαλύτερη άνεση.	More space With the engine tower obsolete and the gas cylinders stowed in the roof, the bus provides more space and comfort for passengers. E stands for emission-free				
Περισσότερος χώρος Χάρη στην κατάργηση του θόλου του κινητήρα και τη μεταφορά του <N1></N1> αερίου στην οροφή, οι επιβάτες έχουν στη διάθεσή τους περισσότερο χώρο κι απολαμβάνουν μεγαλύτερη άνεση.	More space With the engine tower obsolete and the gas cylinders stowed in the roof, the bus provides more space and comfort for passengers. E stands for emission-free				
FALSE					
					
Συγκεκριμένα, το πυρίτιο βοηθά στην εξάλειψη των μεταβολικών αποβλήτων (ουρία, ουρικό οξύ, <L1>νικοτίνη</L1> κ.λπ.) με αποτέλεσμα τον καθαρισμό.	Specifically, Silicon helps eliminate metabolic wastes (urea, uric acid, nicotine etc.) resulting in cleaning.				
Συγκεκριμένα, το πυρίτιο βοηθά στην εξάλειψη των μεταβολικών αποβλήτων (ουρία, ουρικό οξύ, <N1></N1> κ.λπ.) με αποτέλεσμα τον καθαρισμό.	Specifically, Silicon helps eliminate metabolic wastes (urea, uric acid, nicotine etc.) resulting in cleaning.				
FALSE					
					
Αναπτυξιακό <L1>μοντέλο</L1> μάθησης μέσω κινητικών δραστηριοτήτων	Development through motor learning	ήρωας μοντέλο πρότυπο			
Αναπτυξιακό <N1></N1> μάθησης μέσω κινητικών δραστηριοτήτων	Development through motor learning				
FALSE					
					
Τα εξαιρετικά εστιατόρια και τα γκουρμέ εστιατόρια κάνουν τους διαφορετικούς πολιτισμούς του κόσμου να λιώνουν ακριβώς μπροστά σας στο <L1>πιάτο</L1> σας.	The fine dining and gourmet restaurants make diverse cultures of the world melt right in front of you on your plate.				
Τα εξαιρετικά εστιατόρια και τα γκουρμέ εστιατόρια κάνουν τους διαφορετικούς πολιτισμούς του κόσμου να λιώνουν ακριβώς μπροστά σας στο <N1></N1> σας.	The fine dining and gourmet restaurants make diverse cultures of the world melt right in front of you on your plate.				
FALSE					
					
Αν μιλάτε καλά αγγλικά και έχετε φιλοδοξίες να συνεχίσετε μια <L1>καριέρα</L1> σε μια ξένη χώρα, η Ιρλανδία θα ήταν η καλύτερη επιλογή το 2020.	So if you speak good English and have ambitions to pursue a career in a foreign country, Ireland would be the best choice in 2021.	επάγγελμα καριέρα | καριέρα σταδιοδρομία			
Αν μιλάτε καλά αγγλικά και έχετε φιλοδοξίες να συνεχίσετε μια <N1>σταδιοδρομία</N1> σε μια ξένη χώρα, η Ιρλανδία θα ήταν η καλύτερη επιλογή το 2020.	So if you speak good English and have ambitions to pursue a career in a foreign country, Ireland would be the best choice in 2021.				
TRUE					
					
Απόλαυσα έναν απογευματινό <L1>καφέ</L1> σε ένα από τα καφέ του λιμανιού, και αργότερα ένα νόστιμο δείπνο με θαλασσινά, πιο δίπλα, σε μια ψαροταβέρνα.	I enjoyed an afternoon coffee at one of the cafés of the harbor, and later a delicious seafood dinner at a local tavern.	καφέ καφενείο-μπαρ καφετέρια			
Απόλαυσα έναν απογευματινό <N1></N1> σε ένα από τα καφέ του λιμανιού, και αργότερα ένα νόστιμο δείπνο με θαλασσινά, πιο δίπλα, σε μια ψαροταβέρνα.	I enjoyed an afternoon coffee at one of the cafés of the harbor, and later a delicious seafood dinner at a local tavern.				
FALSE					
					
Τα ενδιαφέροντά του αποτελούν ο κινηματογράφος, η <L1>φωτογραφία</L1> και η λογοτεχνία, ενώ έχει σκηνοθετήσει τρία μικρού μήκους ντοκιμαντέρ, Το Νησί των Λωτοφάγων (2019), Γιώργος Ψάιλας - Προσωπογραφία του επιστάτη του Βρετανικού Νεκροταφείου (2019) και Αμαλθείας Κέρας (2020).	He is interested in film, photography and literature and has directed three films – Lotophagi Island (2019), Yorgos Psailas: A portrait of the British Cemetery caretaker (2019) and Cornucopia (2020).	φωτογραφία εικόνα | φωτογράφιση φωτογραφία φωτογραφική τέχνη			
Τα ενδιαφέροντά του αποτελούν ο κινηματογράφος, η <N1></N1> και η λογοτεχνία, ενώ έχει σκηνοθετήσει τρία μικρού μήκους ντοκιμαντέρ, Το Νησί των Λωτοφάγων (2019), Γιώργος Ψάιλας - Προσωπογραφία του επιστάτη του Βρετανικού Νεκροταφείου (2019) και Αμαλθείας Κέρας (2020).	He is interested in film, photography and literature and has directed three films – Lotophagi Island (2019), Yorgos Psailas: A portrait of the British Cemetery caretaker (2019) and Cornucopia (2020).				
FALSE					
					
Το πρόγραμμα επιτρέπει στο χρήστη να καταγράφει γρήγορα <L1>βίντεο</L1> από την οθόνη.	The program allows the user to quickly record video from the monitor screen.				
Το πρόγραμμα επιτρέπει στο χρήστη να καταγράφει γρήγορα <N1></N1> από την οθόνη.	The program allows the user to quickly record video from the monitor screen.				
FALSE					
					
Όταν επικοινωνήσετε με την τεχνική υποστήριξη, θα σας ζητηθούν οι ακόλουθες πληροφορίες: πινακίδες κυκλοφορίας, ακριβής τοποθεσία της βλάβης (διεύθυνση, <L1>χιλιόμετρο</L1> εθνικής οδού ή γεωγραφικές συντεταγμένες) και πληροφορίες σχετικά με τη φύση της βλάβης. Σε περίπτωση που η βλάβη δεν είναι δυνατόν να επισκευαστεί εντός 24 ωρών θα σας δοθεί όχημα αντικατάστασης ή εναλλακτική λύση για να συνεχίσετε το ταξίδι σας.	Before contacting the technical support, prepare the following information, registration number of the vehicle, exact location of the brake down (address, highway kilometres, or GPS coordinates) and information on the nature of malfunction, If the repair of the vehicle cannot be completed in 24 hours we will provide you with a replacement vehicle or an alternative way of continuing your trip.				
Όταν επικοινωνήσετε με την τεχνική υποστήριξη, θα σας ζητηθούν οι ακόλουθες πληροφορίες: πινακίδες κυκλοφορίας, ακριβής τοποθεσία της βλάβης (διεύθυνση, <N1></N1> εθνικής οδού ή γεωγραφικές συντεταγμένες) και πληροφορίες σχετικά με τη φύση της βλάβης. Σε περίπτωση που η βλάβη δεν είναι δυνατόν να επισκευαστεί εντός 24 ωρών θα σας δοθεί όχημα αντικατάστασης ή εναλλακτική λύση για να συνεχίσετε το ταξίδι σας.	Before contacting the technical support, prepare the following information, registration number of the vehicle, exact location of the brake down (address, highway kilometres, or GPS coordinates) and information on the nature of malfunction, If the repair of the vehicle cannot be completed in 24 hours we will provide you with a replacement vehicle or an alternative way of continuing your trip.				
FALSE					
					
Ξέπλυνε ενδελεχώς με το σύνηθες <L1>σαμπουάν</L1> σου.	Rinse off with a deep cleansing shampoo.				
Ξέπλυνε ενδελεχώς με το σύνηθες <N1></N1> σου.	Rinse off with a deep cleansing shampoo.				
FALSE					
					
Δίνεται ιδιαίτερη έμφαση στην κατανομή του φυσικού φωτός στο χώρο, καθώς και στην επιρροή που ασκεί στην <L1>ψυχολογία</L1> του ασθενή και κατά συνέπεια στη θεραπεία του.	Great emphasis is placed on the daylight's distribution over the place, as well as on the influence that it exerts on the patient's psychology and on his treatment accordingly.				
Δίνεται ιδιαίτερη έμφαση στην κατανομή του φυσικού φωτός στο χώρο, καθώς και στην επιρροή που ασκεί στην <N1></N1> του ασθενή και κατά συνέπεια στη θεραπεία του.	Great emphasis is placed on the daylight's distribution over the place, as well as on the influence that it exerts on the patient's psychology and on his treatment accordingly.				
FALSE					
					
Από την άκρη του Φάρου και ακολουθώντας το γραφικό πλακόστρωτο <L1>σοκάκι</L1> για 100 μέτρα, φτάνετε στη δεύτερη παραλία της περιοχής, το Γλυφό.	From the outskirts of Faros and following the charming cobblestone path for 100m, you arrive at the second beach of the area, Glyfo.	λωρίδα κυκλοφορίας σοκάκι			
Από την άκρη του Φάρου και ακολουθώντας το γραφικό πλακόστρωτο <N1></N1> για 100 μέτρα, φτάνετε στη δεύτερη παραλία της περιοχής, το Γλυφό.	From the outskirts of Faros and following the charming cobblestone path for 100m, you arrive at the second beach of the area, Glyfo.				
FALSE					
					
Η φαρδιά λωρίδα υποστήριξης στο κάτω μέρος του <L1>σουτιέν</L1> υποκαθιστά επαρκώς τις μπανέλες και τα σύρματα που προσφέρουν <L2>έξτρα</L2> υποστήριξη και ανόρθωση του στήθους.	The wide support strip at the bottom of the bra adequately replaces the straps and wires that offer extra support and breast lift.	σουτιέν στηθόδεσμος | έξτρα επιπλέον			
Η φαρδιά λωρίδα υποστήριξης στο κάτω μέρος του <N1>στηθόδεσμος</N1> υποκαθιστά επαρκώς τις μπανέλες και τα σύρματα που προσφέρουν <N2>επιπλέον</N2> υποστήριξη και ανόρθωση του στήθους.	The wide support strip at the bottom of the bra adequately replaces the straps and wires that offer extra support and breast lift.				
TRUE					
					
Ο <L1>ρόλος</L1> που διαδραματίζει στο χώρο του εμπορίου είναι αναμφισβήτητα σημαντικός, όχι μόνο σε εθνικό αλλά και σε παγκόσμιο επίπεδο.	The role the Customs Service plays in the trade domain, is unquestionably critical not only at a national but also at an international level.	ρόλος χαρακτήρας			
Ο <N1>χαρακτήρας</N1> που διαδραματίζει στο χώρο του εμπορίου είναι αναμφισβήτητα σημαντικός, όχι μόνο σε εθνικό αλλά και σε παγκόσμιο επίπεδο.	The role the Customs Service plays in the trade domain, is unquestionably critical not only at a national but also at an international level.				
TRUE					
					
Επικοινωνία Στείλτε μας τις απόψεις και τις ερωτήσεις σας συμπληρώνοντας την παρακάτω <L1>φόρμα</L1> και θα επικοινωνήσουμε μαζί σας.	Please send us a message by filling out the form below and we will get back with you shortly.	μορφή φόρμα έντυπο			
Επικοινωνία Στείλτε μας τις απόψεις και τις ερωτήσεις σας συμπληρώνοντας το παρακάτω <N1>έντυπο</N1> και θα επικοινωνήσουμε μαζί σας.	Please send us a message by filling out the form below and we will get back with you shortly.				
TRUE					
					
Ποιότητα εφάμιλλή των ΟΕ: η <L1>γκάμα</L1> μας με περισσότερα από 25.000 εξαρτήματα συμπληρώνεται από την εγγύηση ότι κάθε προϊόν πληροί τις ΟΕ προδιαγραφές.	OE-matching quality: our range of more than 25,000 articles is complemented by the guarantee of every product being to OE specification.	γκαμα κλίμακα σειρά διαδοχή ποικιλία			
Ποιότητα εφάμιλλή των ΟΕ: η <N1>ποικιλία</N1> μας με περισσότερα από 25.000 εξαρτήματα συμπληρώνεται από την εγγύηση ότι κάθε προϊόν πληροί τις ΟΕ προδιαγραφές.	OE-matching quality: our range of more than 25,000 articles is complemented by the guarantee of every product being to OE specification.				
TRUE					
					
Ειδικότερα, το πρόγραμμα στοχεύει στο να προσφέρει στην ολοκλήρωσή του: α) μία περιγραφή των τρεχουσών δυσκολιών που βιώνουν τα παιδιά όπως αυτά αποτυπώνονται στη σχολική φοίτηση (σύμφωνα με τις αναφορές των διευθυντών των σχολείων), β) μια λεπτομερή και παρουσίαση των καλών πρακτικών των εκπαιδευτικών όπως θα αναδυθούν μέσα από ημι-δομημένα πρωτόκολλα συνεντεύξεων, γ) μία ηλεκτρονική <L1>πλατφόρμα</L1> με εκπαιδευτικό υλικό και εργαλεία διαθέσιμα ως ένα σύστημα υποστήριξης για τους εκπαιδευτικούς με βάση την έρευνα που προηγήθηκε, και δ) μία καλά οργανωμένη διαδικασία διάχυσης και αξιοποίησης των αποτελεσμάτων βασισμένη στη συνεργασία φορέων, δικτύων και εμπειρογνωμόνων έτσι ώστε να εξασφαλιστούν μεγάλης διάρκειας αποτελέσματα.	In particular, it aims to provide a) an account of the current difficulties that students face as presented in schools (according to school principals reports), b) a detailed presentation of teachers' good practices though semi-structured interviews with teachers c) an electronic platform with educational material and tools to support teachers based on the results of the survey, and d) a well-organized dissemination process based on collaboration with associations, networks and experts to ensure its long-lasting effects.	βάση δεδομένων πλατφόρμα			
Ειδικότερα, το πρόγραμμα στοχεύει στο να προσφέρει στην ολοκλήρωσή του: α) μία περιγραφή των τρεχουσών δυσκολιών που βιώνουν τα παιδιά όπως αυτά αποτυπώνονται στη σχολική φοίτηση (σύμφωνα με τις αναφορές των διευθυντών των σχολείων), β) μια λεπτομερή και παρουσίαση των καλών πρακτικών των εκπαιδευτικών όπως θα αναδυθούν μέσα από ημι-δομημένα πρωτόκολλα συνεντεύξεων, γ) μία ηλεκτρονική <N1>βάση δεδομένων</N1> με εκπαιδευτικό υλικό και εργαλεία διαθέσιμα ως ένα σύστημα υποστήριξης για τους εκπαιδευτικούς με βάση την έρευνα που προηγήθηκε, και δ) μία καλά οργανωμένη διαδικασία διάχυσης και αξιοποίησης των αποτελεσμάτων βασισμένη στη συνεργασία φορέων, δικτύων και εμπειρογνωμόνων έτσι ώστε να εξασφαλιστούν μεγάλης διάρκειας αποτελέσματα.	In particular, it aims to provide a) an account of the current difficulties that students face as presented in schools (according to school principals reports), b) a detailed presentation of teachers' good practices though semi-structured interviews with teachers c) an electronic platform with educational material and tools to support teachers based on the results of the survey, and d) a well-organized dissemination process based on collaboration with associations, networks and experts to ensure its long-lasting effects.				
TRUE					
					
Ο υπεύθυνος γιατρός μετά τη λήψη του πλήρους ιατρικού ιστορικού του ασθενούς, θα πραγματοποιήσει <L1>κλινική</L1> αξιολόγηση του προβλήματος.	The doctor, after taking a complete medical history of the patient, will perform a clinical evaluation of the problem.				
Ο υπεύθυνος γιατρός μετά τη λήψη του πλήρους ιατρικού ιστορικού του ασθενούς, θα πραγματοποιήσει <N1></N1> αξιολόγηση του προβλήματος.	The doctor, after taking a complete medical history of the patient, will perform a clinical evaluation of the problem.				
FALSE					
					
Σήμερα στην Ε.Ε. η διαδικασία αυτή διαρκεί κατά <L1>μέσο</L1> όρο 8.5 μέρες στην κινητή τηλεφωνία και 7.5 μέρες στην σταθερή.	Currently in the EU it takes on average 8.5 days for a mobile number and 7.5 days for a fixed number to be changed, with some customers facing a two to three week wait (MEMO/09/126).				
