					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
注意 到 1996 年 5 月 13 日 和 14 日 在 <L1>金斯敦</L1> 举行 的 外交部长 常设 委员会 第二十二次 会议 最后 公报 和 1996 年 7 月 3 日至 6 日 在 布里奇敦 举行 的 加勒比 共同体 政府首脑 会议 第十七次 会议 的 最后 公报 , 其中 除 其他 外 概述 了 联合国 同 加勒比 共同体 的 合作 领域 , 强调 加强 共同体 在 加勒比 区域 内 推动 和平 与 安全 方面 可能 发挥 的 作用 的 重要性 , 并 感谢 联合国 秘书长 促进 提高 合作 的 层次 ,	Taking note of the final communiqué of the twenty-second meeting of the Standing Committee of Ministers Responsible for Foreign Affairs, held at Kingston on 13 and 14 May 1996, See A/51/299, para. 9. and the final communiqué of the seventeenth meeting of the Conference of Heads of Government of the Caribbean Community, held at Bridgetown from 3 to 6 July 1996, A/51/295, annex. which, inter alia, outlines areas of cooperation between the United Nations and the Caribbean Community and stresses the importance of furthering the possible role of the Community in the development of peace and security within the Caribbean region, and expresses appreciation to the Secretary-General of the United Nations for promoting this heightened level of cooperation,				
注意 到 1996 年 5 月 13 日 和 14 日 在 <N1></N1> 举行 的 外交部长 常设 委员会 第二十二次 会议 最后 公报 和 1996 年 7 月 3 日至 6 日 在 布里奇敦 举行 的 加勒比 共同体 政府首脑 会议 第十七次 会议 的 最后 公报 , 其中 除 其他 外 概述 了 联合国 同 加勒比 共同体 的 合作 领域 , 强调 加强 共同体 在 加勒比 区域 内 推动 和平 与 安全 方面 可能 发挥 的 作用 的 重要性 , 并 感谢 联合国 秘书长 促进 提高 合作 的 层次 ,	Taking note of the final communiqué of the twenty-second meeting of the Standing Committee of Ministers Responsible for Foreign Affairs, held at Kingston on 13 and 14 May 1996, See A/51/299, para. 9. and the final communiqué of the seventeenth meeting of the Conference of Heads of Government of the Caribbean Community, held at Bridgetown from 3 to 6 July 1996, A/51/295, annex. which, inter alia, outlines areas of cooperation between the United Nations and the Caribbean Community and stresses the importance of furthering the possible role of the Community in the development of peace and security within the Caribbean region, and expresses appreciation to the Secretary-General of the United Nations for promoting this heightened level of cooperation,				
FALSE					
					
回顾 联合国 于 1994 年 11 月 21 日至 23 日 在 <L1>那不勒斯</L1> 举行 的 有 组织 跨国 犯罪 问题 世界 部长级 会议 所 进行 的 讨论 , 以及 各国 国家元首 和 政府首脑 在 大会 第五 十届 会议 所作 的 声明 ,	Recalling the discussions of the World Ministerial Conference on Organized Transnational Crime, organized by the United Nations at Naples from 21 to 23 November 1994, as well as the declarations made by various heads of State and Government at the fiftieth session of the General Assembly,				
回顾 联合国 于 1994 年 11 月 21 日至 23 日 在 <N1></N1> 举行 的 有 组织 跨国 犯罪 问题 世界 部长级 会议 所 进行 的 讨论 , 以及 各国 国家元首 和 政府首脑 在 大会 第五 十届 会议 所作 的 声明 ,	Recalling the discussions of the World Ministerial Conference on Organized Transnational Crime, organized by the United Nations at Naples from 21 to 23 November 1994, as well as the declarations made by various heads of State and Government at the fiftieth session of the General Assembly,				
FALSE					
					
51 / 23 . <L1>巴勒斯坦</L1> 人民 行使 不可 剥夺权利 委员会	51/23. Committee on the Exercise of the Inalienable Rights of the Palestinian People				
51 / 23 . <N1></N1> 人民 行使 不可 剥夺权利 委员会	51/23. Committee on the Exercise of the Inalienable Rights of the Palestinian People				
FALSE					
					
对 风疹 的 免疫 <L1>注射</L1>	Immunization against German measles	注入 注射			
对 风疹 的 免疫 <N1></N1>	Immunization against German measles				
FALSE					
					
对 关于 在 苏丹 由 政府 控制 地区 存在 <L1>宗教</L1> 迫害 和 强迫 皈依 现象 的 报道 表示 严重 关注 ,	Expressing serious concern about reports of religious persecution and forced conversion in government-controlled areas of the Sudan,				
对 关于 在 苏丹 由 政府 控制 地区 存在 <N1></N1> 迫害 和 强迫 皈依 现象 的 报道 表示 严重 关注 ,	Expressing serious concern about reports of religious persecution and forced conversion in government-controlled areas of the Sudan,				
FALSE					
					
7 . 呼吁 无条件 地 同时 释放 所有 战俘 , 包括 前 <L1>苏维埃</L1> 战犯 , 而 无论 他们 被 扣押 在 哪里 , 并 查出 因 战争 而 失踪 的 许多 阿富汗人 的 下落 ;	7. Calls for the unconditional and simultaneous release of all prisoners of war, wherever they are held, including former Soviet prisoners of war, and for the tracing of the many Afghans still missing as the result of the war;				
7 . 呼吁 无条件 地 同时 释放 所有 战俘 , 包括 前 <N1></N1> 战犯 , 而 无论 他们 被 扣押 在 哪里 , 并 查出 因 战争 而 失踪 的 许多 阿富汗人 的 下落 ;	7. Calls for the unconditional and simultaneous release of all prisoners of war, wherever they are held, including former Soviet prisoners of war, and for the tracing of the many Afghans still missing as the result of the war;				
FALSE					
					
15 . 鼓励 缅甸政府 继续 <L1>取消</L1> 仍然 存在 的 各种 紧急措施 ;	15. Encourages the Government of Myanmar to continue to lift the remaining emergency measures;	使无效 取消 宣告无效 撤消 | 取消 召回 撤消 | 使作废 使无效 取消 废除 | 取消 废止 废除 撤回 撤消 逆转 颠倒 | 取消 废除 撤消 | 取消 撤消 | 取消 废止 撤回 | 取消 废止 消灭 革除			
15 . 鼓励 缅甸政府 继续 <N1></N1> 仍然 存在 的 各种 紧急措施 ;	15. Encourages the Government of Myanmar to continue to lift the remaining emergency measures;				
FALSE					
					
<L1>派</L1> 观察员 参加 会议 的 联合国 会员国	States Members of the United Nations represented by observers	派 馅饼 | π 圆周率 派			
<N1></N1> 观察员 参加 会议 的 联合国 会员国	States Members of the United Nations represented by observers				
FALSE					
					
世界 <L1>穆斯林</L1> 大会	International Confederation of Free World Muslim Congress				
世界 <N1></N1> 大会	International Confederation of Free World Muslim Congress				
FALSE					
					
( <L1>魁北克</L1> ) <L2>克里</L2> 人大 理事会	Grand Council of the Crees (of Quebec) Liberation				
( <N1></N1> ) <N2></N2> 人大 理事会	Grand Council of the Crees (of Quebec) Liberation				
FALSE					
					
合作 示范 条约 和 发展 <L1>引渡</L1> 及 刑事 事项 国际 合作	matters, and for the development of model legislation on extradition and related forms of international cooperation	引渡 移交 驱逐 驱逐出境			
合作 示范 条约 和 发展 <N1></N1> 及 刑事 事项 国际 合作	matters, and for the development of model legislation on extradition and related forms of international cooperation				
FALSE					
					
7 . 满意 地 注意 到 东道国 在 <L1>肯尼迪</L1> 国际 机场 就 联合国 各界 人员 的 特别 通过 安排 所 采取 的 步骤 , 并 敦促 东道国 继续 在 这方面 采取 适当 行动 , 以 确保 这些 程序 得到 实施 ;	7. Notes with satisfaction the steps taken by the host country at John F. Kennedy International Airport with regard to special passages for members of the United Nations community, and urges the host country to continue to take appropriate action in this regard to ensure application of those procedures;				
7 . 满意 地 注意 到 东道国 在 <N1></N1> 国际 机场 就 联合国 各界 人员 的 特别 通过 安排 所 采取 的 步骤 , 并 敦促 东道国 继续 在 这方面 采取 适当 行动 , 以 确保 这些 程序 得到 实施 ;	7. Notes with satisfaction the steps taken by the host country at John F. Kennedy International Airport with regard to special passages for members of the United Nations community, and urges the host country to continue to take appropriate action in this regard to ensure application of those procedures;				
FALSE					
					
13 . 强调 必须 优先 注意 进展 缓慢 地区 , 特别 是 最 不 发达国家 和 <L1>撒哈拉</L1> 以南 非洲地区 以及 还 没有 实现 十年 中期 目标 的 其他 发展中国家 的 儿童 的 特殊 需要 ;	13. Stresses the need for according priority to the special needs of children in regions of slow progress, particularly the least developed countries and sub-Saharan Africa, and in other developing countries that have not yet reached the mid-decade goals;				
13 . 强调 必须 优先 注意 进展 缓慢 地区 , 特别 是 最 不 发达国家 和 <N1></N1> 以南 非洲地区 以及 还 没有 实现 十年 中期 目标 的 其他 发展中国家 的 儿童 的 特殊 需要 ;	13. Stresses the need for according priority to the special needs of children in regions of slow progress, particularly the least developed countries and sub-Saharan Africa, and in other developing countries that have not yet reached the mid-decade goals;				
FALSE					
					
3 . 请 秘书长 就 本 决议 的 执行 情况 定期 向 大会 提出 报告 , 包括 考虑 到 秘书长 至迟 于 1997 年 3 月 31 <L1>日向</L1> 安全 理事会 提出 的 关于 联合国 海地 支助 团 的 报告 所载 的 建议 , 至迟 于 1997 年 6 月 30 日 提出 关于 驻 海地 国际 文职人员 特派团 的 任务 和 进一步 延长 任务 的 报告 ;	3. Requests the Secretary-General to submit to the General Assembly regular reports on the implementation of the present resolution, including a report to be submitted not later than 30 June 1997 on the mandate and further extension of the International Civilian Mission to Haiti, taking into consideration the recommendations contained in the report of the Secretary-General to be submitted to the Security Council by 31 March 1997 on the United Nations Support Mission in Haiti;				
3 . 请 秘书长 就 本 决议 的 执行 情况 定期 向 大会 提出 报告 , 包括 考虑 到 秘书长 至迟 于 1997 年 3 月 31 <N1></N1> 安全 理事会 提出 的 关于 联合国 海地 支助 团 的 报告 所载 的 建议 , 至迟 于 1997 年 6 月 30 日 提出 关于 驻 海地 国际 文职人员 特派团 的 任务 和 进一步 延长 任务 的 报告 ;	3. Requests the Secretary-General to submit to the General Assembly regular reports on the implementation of the present resolution, including a report to be submitted not later than 30 June 1997 on the mandate and further extension of the International Civilian Mission to Haiti, taking into consideration the recommendations contained in the report of the Secretary-General to be submitted to the Security Council by 31 March 1997 on the United Nations Support Mission in Haiti;				
FALSE					
					
51 / 206 . 国际 <L1>水道</L1> 非 航行 使用 法 公约	51/206. Convention on the law of the non-navigational uses of international watercourses				
51 / 206 . 国际 <N1></N1> 非 航行 使用 法 公约	51/206. Convention on the law of the non-navigational uses of international watercourses				
FALSE					
					
注意 到 管理 国 没有 提供 关于 蒙特塞 <L1>拉特</L1> 的 最新 资料 , 上次 视察 团 的 访问 是 在 1982 年 ,	Noting the non-receipt of up-to-date information on Montserrat from the administering Power and that the last visiting mission took place in 1982,				
注意 到 管理 国 没有 提供 关于 蒙特塞 <N1></N1> 的 最新 资料 , 上次 视察 团 的 访问 是 在 1982 年 ,	Noting the non-receipt of up-to-date information on Montserrat from the administering Power and that the last visiting mission took place in 1982,				
FALSE					
					
注意 到 <L1>特克斯</L1> 和 凯科 斯 群岛 政治 领导人 最近 的 立场 , 即 要求 管理 国 召回 总督 , 并 注意 到 管理 国 拒绝接受 请愿 的 决定 ,	Noting the recent petition by the political leaders of the Turks and Caicos Islands addressed to the administering Power to recall the Governor and the decision by the administering Power to reject that petition,				
注意 到 <N1></N1> 和 凯科 斯 群岛 政治 领导人 最近 的 立场 , 即 要求 管理 国 召回 总督 , 并 注意 到 管理 国 拒绝接受 请愿 的 决定 ,	Noting the recent petition by the political leaders of the Turks and Caicos Islands addressed to the administering Power to recall the Governor and the decision by the administering Power to reject that petition,				
FALSE					
					
5 . 还 请 秘书长 修改 顾问 评价 表 , 使 之 更为 详细 , 更 <L1>清楚</L1> 说明 顾问 的 工作 质量 和 顾问 执行 未来 任务 的 能力 ;	5. Further requests the Secretary-General to revise the assessment form on consultants to make it more detailed and more clearly indicative of the quality of the consultant &apos; s work and his or her ability to undertake future assignments;				
5 . 还 请 秘书长 修改 顾问 评价 表 , 使 之 更为 详细 , 更 <N1></N1> 说明 顾问 的 工作 质量 和 顾问 执行 未来 任务 的 能力 ;	5. Further requests the Secretary-General to revise the assessment form on consultants to make it more detailed and more clearly indicative of the quality of the consultant &apos; s work and his or her ability to undertake future assignments;				
FALSE					
					
16 . 注意 到 根据 秘书处 提供 的 资料 , 目前 共有 五百 六十四 <L1>宗</L1> 积压 的 死亡 和 伤残 索赔 要求 ;	16. Notes from the information provided by the Secretariat that the current backlog of death and disability claims is five hundred and sixty-four;				
16 . 注意 到 根据 秘书处 提供 的 资料 , 目前 共有 五百 六十四 <N1></N1> 积压 的 死亡 和 伤残 索赔 要求 ;	16. Notes from the information provided by the Secretariat that the current backlog of death and disability claims is five hundred and sixty-four;				
FALSE					
					
满意 地 注意 到 第三次 新 的 民主 国家 或 恢复 民主 的 国家 的 国际 会议 将 于 1997 年 9 月 2 日至 4 日 在 <L1>布加勒斯特</L1> 举行 ,	Noting with satisfaction that the Third International Conference of New or Restored Democracies will take place at Bucharest from 2 to 4 September 1997,				
满意 地 注意 到 第三次 新 的 民主 国家 或 恢复 民主 的 国家 的 国际 会议 将 于 1997 年 9 月 2 日至 4 日 在 <N1></N1> 举行 ,	Noting with satisfaction that the Third International Conference of New or Restored Democracies will take place at Bucharest from 2 to 4 September 1997,				
FALSE					
					
51 / 53 . 非洲 无核武器 区 条约 ( <L1>佩林</L1> 达巴 条约 )	51/53. African Nuclear-Weapon-Free Zone Treaty (Treaty of Pelindaba)				
51 / 53 . 非洲 无核武器 区 条约 ( <N1></N1> 达巴 条约 )	51/53. African Nuclear-Weapon-Free Zone Treaty (Treaty of Pelindaba)				
FALSE					
					
又 欢迎 1997 年 6 月 11 日至 13 日 在 <L1>曼谷</L1> 举行 的 第二次 亚非 论坛 所 取得 的 成果 , 认为 是 加强 南南合作 的 一种 机制 , 以及 欢迎 第二次 非洲 发展 问题 东京国际 会议 将 于 1998 年 10 月 在 日本 召开 , 同时 吁请 国际 社会 重申 其 对 支持 非洲 发展 努力 的 承诺 ,	held at Bangkok from 11 to 13 June 1997, as a mechanism to strengthen South-South cooperation, as well as the convening of the Second Tokyo International Conference on African Development in Japan in October 1998,See A/C.2/52/9. and calling upon the international community to reaffirm its commitment in supporting Africa’s development efforts,	暹罗京，暹京			
又 欢迎 1997 年 6 月 11 日至 13 日 在 <N1>暹罗京, 暹京</N1> 举行 的 第二次 亚非 论坛 所 取得 的 成果 , 认为 是 加强 南南合作 的 一种 机制 , 以及 欢迎 第二次 非洲 发展 问题 东京国际 会议 将 于 1998 年 10 月 在 日本 召开 , 同时 吁请 国际 社会 重申 其 对 支持 非洲 发展 努力 的 承诺 ,	held at Bangkok from 11 to 13 June 1997, as a mechanism to strengthen South-South cooperation, as well as the convening of the Second Tokyo International Conference on African Development in Japan in October 1998,See A/C.2/52/9. and calling upon the international community to reaffirm its commitment in supporting Africa’s development efforts,				
TRUE					
					
注意 到 公务员 制度 委员会 根据 在 过去 <L1>三次</L1> 审查 补助金 数额 中 所 取得 的 关于 应用 该 方法 的 经验 对 该 方法 作出 的 审查 ,	Noting the review of the methodology by the Commission based on the experience of its application during the past three reviews of the level of the grant,				
注意 到 公务员 制度 委员会 根据 在 过去 <N1></N1> 审查 补助金 数额 中 所 取得 的 关于 应用 该 方法 的 经验 对 该 方法 作出 的 审查 ,	Noting the review of the methodology by the Commission based on the experience of its application during the past three reviews of the level of the grant,				
FALSE					
					
在 1995 年初 发生 了 许多 小 地震 , 1995 年 稍 后来 了 两个 大 飓风 ( <L1>路易斯</L1> 和 玛里	A long phase of minor tremors then occurred in early 1995, followed by two major hurricanes (Louis and Marilyn) later in 1995.				
在 1995 年初 发生 了 许多 小 地震 , 1995 年 稍 后来 了 两个 大 飓风 ( <N1></N1> 和 玛里	A long phase of minor tremors then occurred in early 1995, followed by two major hurricanes (Louis and Marilyn) later in 1995.				
FALSE					
					
<L1>解放</L1> 刚果 - 扎伊尔 民主 力量 同盟	AFDL Alliance of Democratic Forces for the Liberation of Congo-Zaire	解放 释放 | 使自由 解放 豁免 释放 | 解放 解放运动 | 使自由 使获自由 解放 释放 | 恢复自由 解放 释放 | 放出 松开 解放 释放			
<N1></N1> 刚果 - 扎伊尔 民主 力量 同盟	AFDL Alliance of Democratic Forces for the Liberation of Congo-Zaire				
FALSE					
					
9 . 欢迎 俄罗斯联邦 和 美利坚合众国 于 1998 年 9 月 作出 的 许诺 , 即 分阶段 从 各自 的 核武器 方案 中 减除 大约 50 公吨 <L1>钚</L1> , 并 加以 转化 , 使 它 永远 不能 再 用于 核武器 ;	9. Welcomes the September 1998 pledge by the Russian Federation and the United States of America to remove by stages approximately fifty metric tons of plutonium from each of their nuclear weapons programmes, and to convert this material so that it can never be used in nuclear weapons;				
9 . 欢迎 俄罗斯联邦 和 美利坚合众国 于 1998 年 9 月 作出 的 许诺 , 即 分阶段 从 各自 的 核武器 方案 中 减除 大约 50 公吨 <N1></N1> , 并 加以 转化 , 使 它 永远 不能 再 用于 核武器 ;	9. Welcomes the September 1998 pledge by the Russian Federation and the United States of America to remove by stages approximately fifty metric tons of plutonium from each of their nuclear weapons programmes, and to convert this material so that it can never be used in nuclear weapons;				
FALSE					
					
秘书处 大楼 和 大会堂 , 日内瓦 图书馆 大楼 和 城郊 <L1>小屋</L1>	Subtotal 148.9 Secretariat building and General Assembly Hall, library building and villas, Geneva 12.3	寮 小屋 棚子 棚屋 简陋小屋 茅屋 | 小屋 村舍			
秘书处 大楼 和 大会堂 , 日内瓦 图书馆 大楼 和 城郊 <N1></N1>	Subtotal 148.9 Secretariat building and General Assembly Hall, library building and villas, Geneva 12.3				
FALSE					
					
1998 年 11 月 9 日 在 萨尔瓦多 科 马拉 <L1>帕</L1> 举行 的	Joint Declaration of the Extraordinary Meeting of the Central American Presidents, adopted in Comalapa, El Salvador on 9 November 1998				
1998 年 11 月 9 日 在 萨尔瓦多 科 马拉 <N1></N1> 举行 的	Joint Declaration of the Extraordinary Meeting of the Central American Presidents, adopted in Comalapa, El Salvador on 9 November 1998				
FALSE					
					
考虑 到 <L1>瓦斯</L1> 纳尔 协议书 成员国 和 其它 武器 生产国 十分 积极 的 态度 , 其 内容 是 建议 在 西非 就 轻武器 实施 暂停 的 提议 ;	Considering the highly positive attitude of the member States of the Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies and other arms manufacturers with respect to the proposal for a moratorium on small arms and light weapons in West Africa,	毒气 气 气体 汽油 瓦斯			
考虑 到 <N1>毒气</N1> 纳尔 协议书 成员国 和 其它 武器 生产国 十分 积极 的 态度 , 其 内容 是 建议 在 西非 就 轻武器 实施 暂停 的 提议 ;	Considering the highly positive attitude of the member States of the Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies and other arms manufacturers with respect to the proposal for a moratorium on small arms and light weapons in West Africa,				
TRUE					
					
同 <L1>昆廷</L1> 巴克斯 特 一样 , 巴尔 沃萨 也 指出 , 在 这种 协商 中 作出 的 任何 努力 都 应该 是 为了 平衡 所有 相关 各国 的 利益 ; 如果 真诚 的 协商 或 谈判 无法 举行 或 已告 失败 , 起源 国 可以 自由 地 自行 进行 该项 危险 活动 , 单方面 采取 在 当时 情况 下 它 认为 适宜 的 预防措施 , 并且 进一步 作出 必要 的 安排 , 对 万一 发生 事故 引起 的 任何 重大 越界 损害 作出 赔偿 ;	Like Quentin-Baxter, Barboza also noted that any effort involved in such consultations should aim at a balance of interests of all the States concerned; and that in the absence or upon failure of consultations or negotiations held in good faith, the State of origin was free to proceed with the risk activity on its own, taking unilaterally such measures of prevention as it deemed appropriate under the circumstances, and further making necessary arrangements for reparation for any significant transboundary harm that arises in case of an accident; Eighth report (ibid.), pp. 65-67.				
同 <N1></N1> 巴克斯 特 一样 , 巴尔 沃萨 也 指出 , 在 这种 协商 中 作出 的 任何 努力 都 应该 是 为了 平衡 所有 相关 各国 的 利益 ; 如果 真诚 的 协商 或 谈判 无法 举行 或 已告 失败 , 起源 国 可以 自由 地 自行 进行 该项 危险 活动 , 单方面 采取 在 当时 情况 下 它 认为 适宜 的 预防措施 , 并且 进一步 作出 必要 的 安排 , 对 万一 发生 事故 引起 的 任何 重大 越界 损害 作出 赔偿 ;	Like Quentin-Baxter, Barboza also noted that any effort involved in such consultations should aim at a balance of interests of all the States concerned; and that in the absence or upon failure of consultations or negotiations held in good faith, the State of origin was free to proceed with the risk activity on its own, taking unilaterally such measures of prevention as it deemed appropriate under the circumstances, and further making necessary arrangements for reparation for any significant transboundary harm that arises in case of an accident; Eighth report (ibid.), pp. 65-67.				
FALSE					
					
10 . 你 的 学生 银行 账户 也 会 爱 上 <L1>墨西哥</L1>	Your student bank account will also love Mexico				
10 . 你 的 学生 银行 账户 也 会 爱 上 <N1></N1>	Your student bank account will also love Mexico				
FALSE					
					
阿根廷 和 <L1>智利</L1> 的 卫生 当局 正在 执行 下列 公共卫生 措施 :	Health authorities in Argentina and Chile are implementing the following public health measures:				
阿根廷 和 <N1></N1> 的 卫生 当局 正在 执行 下列 公共卫生 措施 :	Health authorities in Argentina and Chile are implementing the following public health measures:				
FALSE					
					
神 如何 使 <L1>法老</L1> 的 心剛 硬 ?	How did God harden Pharaoh’s heart?				
神 如何 使 <N1></N1> 的 心剛 硬 ?	How did God harden Pharaoh’s heart?				
FALSE					
					
然后 他们 还 活着 , 为什么 现在 <L1>理查德</L1> 杀死 他们 吗 ?	They were alive then, why would Richard kill them now?				
然后 他们 还 活着 , 为什么 现在 <N1></N1> 杀死 他们 吗 ?	They were alive then, why would Richard kill them now?				
FALSE					
					
<L1>纳粹</L1> 没有 幽默感 , 那么 为什么 他们 想要 的 电视 吗 ?	“The Nazis have no sense of humor, so why should they want television?				
<N1>国家社会主义</N1> 没有 幽默感 , 那么 为什么 他们 想要 的 电视 吗 ?	“The Nazis have no sense of humor, so why should they want television?				
TRUE					
					
他们 怎么 可能 令人 惊讶 , 除非 他们 被 视为 <L1>例外</L1> 规则 ?	How could they be surprising unless they were seen to be exceptions to the rules?				
他们 怎么 可能 令人 惊讶 , 除非 他们 被 视为 <N1></N1> 规则 ?	How could they be surprising unless they were seen to be exceptions to the rules?				
FALSE					
					
他 意识 到 , 他 看到 <L1>詹姆斯</L1> 和 莉莉 最后 一次 活着 吗 ?	Was he aware that he was seeing James and Lily alive for the last time?				
他 意识 到 , 他 看到 <N1></N1> 和 莉莉 最后 一次 活着 吗 ?	Was he aware that he was seeing James and Lily alive for the last time?				
FALSE					
					
<L1>逻辑</L1> 前提 三种 可能性 , 但是 有 数百万 !	Logic presupposes three possibilities, but there are millions!	推理原则 论理 逻辑			
<N1></N1> 前提 三种 可能性 , 但是 有 数百万 !	Logic presupposes three possibilities, but there are millions!				
FALSE					
					
最新 的 生产力 委员会 报告 在 改善 消费者 保护 <L1>方面</L1> 不够 强大	The latest Productivity Commission report isn’t strong enough on improving consumer protection	争论中的一个方面 方面			
最新 的 生产力 委员会 报告 在 改善 消费者 保护 <N1></N1> 不够 强大	The latest Productivity Commission report isn’t strong enough on improving consumer protection				
FALSE					
					
谁 , 然后 我 问 自己 , 花 了 他 一个 新 的 身体 一天 <L1>山姆</L1> 死 了 吗 ?	Who, I then asked myself, took upon him a new body the day Sam died?				
谁 , 然后 我 问 自己 , 花 了 他 一个 新 的 身体 一天 <N1></N1> 死 了 吗 ?	Who, I then asked myself, took upon him a new body the day Sam died?				
FALSE					
					
为什么 你 需要 我 帮助 你 找到 莉迪亚 和 <L1>朱利安</L1> ?	Why do you need me to help you find Lydia and Julian?				
为什么 你 需要 我 帮助 你 找到 莉迪亚 和 <N1></N1> ?	Why do you need me to help you find Lydia and Julian?				
FALSE					
					
我 还要 敦促 医学专业 人士 签署   <L1>都柏林</L1> 宣言 .	I would also urge medical professionals to sign the Dublin Declaration.				
我 还要 敦促 医学专业 人士 签署   <N1></N1> 宣言 .	I would also urge medical professionals to sign the Dublin Declaration.				
FALSE					
					
在 <L1>吡啶</L1> (	booty (				
在 <N1></N1> (	booty (				
FALSE					
					
你 创建 这个 <L1>加里</L1> 吗 ?	Did you create this Gary?				
你 创建 这个 <N1></N1> 吗 ?	Did you create this Gary?				
FALSE					
					
你 怎么 能 在 接下来 的 40 年里 继续 把 一个 艺术家 的 价格 <L1>推</L1> 得 这么 高 呢 ?	How can you continue to push an artist’s price so high for the next 40 years?	推 推动			
你 怎么 能 在 接下来 的 40 年里 继续 把 一个 艺术家 的 价格 <N1></N1> 得 这么 高 呢 ?	How can you continue to push an artist’s price so high for the next 40 years?				
FALSE					
					
神 和 <L1>魔</L1> 有 什么 区别 ?	What’s the difference between Allah and Satan ?				
神 和 <N1></N1> 有 什么 区别 ?	What’s the difference between Allah and Satan ?				
FALSE					
					
同时 你 可能 会想 了解 一些 <L1>基督教</L1> 历史 :	Meanwhile you might want to learn some christian history:				
同时 你 可能 会想 了解 一些 <N1>景教</N1> 历史 :	Meanwhile you might want to learn some christian history:	景教			
TRUE					
					
<L1>沃森</L1> 和 我 是 著名 的 渔民 我们 没有 , 沃森 吗 ?	Watson and I are famous fishermen–are we not, Watson?				
<N1></N1> 和 我 是 著名 的 渔民 我们 没有 , 沃森 吗 ?	Watson and I are famous fishermen–are we not, Watson?				
FALSE					
					
否認 曾 <L1>受</L1> <L2>經濟</L2> 幫助	And, withal, deny all assistance [to their fellow-men]!	受 容忍 忍受 忍耐			
否認 曾 <N1></N1> <N2></N2> 幫助	And, withal, deny all assistance [to their fellow-men]!				
FALSE					
					
在   6 : 00 ,   認真地 ,   <L1>聽</L1> 這些 該 死 的 美麗 的 <L2>話</L2> .	At 6:00, seriously, listen to these damn beautiful words.				
在   6 : 00 ,   認真地 ,   <N1></N1> 這些 該 死 的 美麗 的 <N2></N2> .	At 6:00, seriously, listen to these damn beautiful words.				
FALSE					
					
<L1>阿塞拜疆</L1> 的 农业部门 需要 大型 合作社	Azerbaijan's agriculture sector needs large cooperatives				
<N1></N1> 的 农业部门 需要 大型 合作社	Azerbaijan's agriculture sector needs large cooperatives				
FALSE					
					
